mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year
Nissan North America,Nissan,Rogue,MPV,0%,100% J,"",J,"",J,"",J,"",2011
Nissan North America,Nissan,Sentra,PC,19%,50% M,25% J,M,"",J,"",J,"",2011
Nissan North America,Nissan,Titan,Truck,50%,21% J,"",US,"",US,"",J,"",2011
Nissan North America,Nissan,"Versa Hatchback, Sedan",PC,13%,45% M,31% J,M,"",J,"",J,"",2011
Nissan North America,Nissan,Xterra,MPV,50%,27% J,"",US,"",US,"",J,"",2011
Porsche,Porsche,911 Carrera (Manual),PC,4%,65% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,911 Carrera (PDK),PC,4%,65% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,911 Carrera 4 (Manual),PC,4%,64% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,911 Carrera 4 (PDK),PC,4%,64% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,"911 Carrera 4 Cabriolet
(Manual)",PC,4%,65% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,"911 Carrera 4 Cabriolet
(PDK)",PC,4%,65% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,911 Carrera 4S (Manual),PC,3%,65% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,911 Carrera 4S (PDK),PC,3%,65% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,"911 Carrera 4S Cabriolet
(Manual)",PC,4%,66% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,"911 Carrera 4S Cabriolet
(PDK)",PC,4%,66% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,"911 Carrera Cabriolet
(Manual)",PC,4%,65% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,"911 Carrera Cabriolet
(PDK)",PC,4%,65% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,911 Carrera S (Manual),PC,4%,65% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,911 Carrera S (PDK),PC,4%,65% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,"911 Carrera S Cabriolet
(Manual)",PC,4%,65% G,"",G,"",G,"",J,"",2011
Porsche,Porsche,"911 Carrera S Cabriolet
(PDK)",PC,4%,65% G,"",G,"",G,"",G,"",2011
Porsche,Porsche,911 GT2/RS,PC,3%,78% G,"",G,"",G,"",G,"",2011
